"model","param","measure","flags"
"preferential.attachment",1,"clustering",2
"preferential.attachment",1.2222222222,"clustering",2
"preferential.attachment",1.4444444444,"clustering",2
"preferential.attachment",1.6666666667,"clustering",2
"preferential.attachment",1.8888888889,"clustering",2
"preferential.attachment",2.1111111111,"clustering",2
"preferential.attachment",2.3333333333,"betweenness",2
"preferential.attachment",2.3333333333,"clustering",2
"preferential.attachment",2.5555555556,"betweenness",2
"preferential.attachment",2.5555555556,"clustering",2
"preferential.attachment",2.7777777778,"betweenness",2
"preferential.attachment",2.7777777778,"clustering",2
"preferential.attachment",3,"betweenness",2
"preferential.attachment",3,"clustering",2
"random.graph",1e-04,"clustering",2
"random.graph",2e-04,"clustering",2
"random.graph",3e-04,"clustering",2
"small.world",0.0027777778,"betweenness",2
